symbol,name,reportDate,fiscalDateEnding,estimate,currency
AKLI,Akili Inc,2023-11-09,2023-09-30,-0.2118,USD
AKRFF,AKRFF,2023-11-07,2023-09-30,,CAD
AKTS,Akoustis Technologies Inc,2023-11-13,2023-09-30,-0.18,USD
AKYA,Akoya Biosciences Inc,2023-11-08,2023-09-30,-0.37,USD
AL,Air Lease Corp - Class A,2023-11-06,2023-09-30,1.02,USD
ALBKY,ALBKY,2023-11-03,2023-09-30,0.0241,EUR
ALBO,ALBO,2023-11-06,2023-09-30,,USD
ALBT,Avalon GloboCare Corp,2023-11-13,2023-09-30,,USD
ALBY,ALBY,2024-01-26,2023-12-31,,USD
ALC,Alcon Inc,2023-11-15,2023-09-30,0.6608,USD
ALCO,Alico Inc,2023-12-04,2023-09-30,-0.34,USD
ALDX,Aldeyra Therapeutics Inc,2023-11-08,2023-09-30,-0.24,USD
ALEAF,ALEAF,2023-11-07,2023-09-30,,CAD
ALEC,Alector Inc,2023-11-06,2023-09-30,-0.66,USD
ALGM,Allegro Microsystems Inc,2024-01-29,2023-12-31,0.3556,USD
ALGN,Align Technology Inc,2024-01-30,2023-12-31,2.14,USD
ALGT,Allegiant Travel,2024-01-30,2023-12-31,1.22,USD
ALIF,ALIF,2023-11-10,2023-09-30,0,USD
ALIZY,ALIZY,2023-11-10,2023-09-30,0.6545,EUR
ALK,Alaska Air Group Inc,2024-01-24,2023-12-31,0.2,USD
ALL,Allstate Corp (The),2024-01-30,2023-12-31,2.71,USD
ALLG,Allego NV,2023-11-13,2023-09-30,-0.01,EUR
ALLK,Allakos Inc,2023-11-06,2023-09-30,-0.45,USD
ALLT,Allot Ltd,2023-11-13,2023-09-30,-0.27,USD
ALLY,Ally Financial Inc,2024-01-18,2023-12-31,0.57,USD
ALMC,ALMC,2024-01-22,2023-12-31,0,USD
ALMTF,ALMTF,2023-11-13,2023-09-30,,CAD
ALNPY,ALNPY,2024-02-01,2023-12-31,0.0872,JPY
ALOT,AstroNova Inc,2023-12-05,2023-10-31,0.12,USD
ALPMY,ALPMY,2024-01-31,2023-12-31,0.1981,JPY
ALPN,Alpine Immune Sciences Inc,2023-11-13,2023-09-30,-0.33,USD
ALRM,Alarm.com Holdings Inc,2023-11-09,2023-09-30,0.4,USD
ALRS,Alerus Financial Corp,2024-01-23,2023-12-31,0.29,USD
ALSMY,ALSMY,2023-11-15,2023-09-30,0,EUR
ALSMY,ALSMY,2024-01-23,2023-12-31,0,EUR
ALT,Altimmune Inc,2023-11-07,2023-09-30,-0.42,USD
ALTG,Alta Equipment Group Inc - Class A,2023-11-08,2023-09-30,0.05,USD
ALTO,Alto Ingredients Inc,2023-11-06,2023-09-30,0.09,USD
ALTU,Altitude Acquisition Corp - Class A,2023-11-14,2023-09-30,,USD
ALV,Autoliv Inc,2024-01-25,2023-12-31,3.17,USD
ALVO,Alvotech,2023-11-13,2023-09-30,-0.07,USD
ALVOF,ALVOF,2023-11-13,2023-09-30,,USD
ALXO,Alx Oncology Holdings Inc,2023-11-06,2023-09-30,-0.87,USD
ALXXF,ALXXF,2023-11-23,2023-09-30,,CAD
ALYA,Alithya Group Inc - Class A - Class A (Sub Voting),2023-11-14,2023-09-30,-0.0161,CAD
ALZN,Alzamend Neuro Inc,2024-01-03,2023-10-31,-0.05,USD
AMADY,AMADY,2023-11-07,2023-09-30,0.6766,EUR
AMAL,Amalgamated Financial Corp,2024-01-24,2023-12-31,0.71,USD
AMAT,Applied Materials Inc,2023-11-16,2023-10-31,2,USD
AMBA,Ambarella Inc,2023-11-29,2023-10-31,-0.39,USD
AMBC,AMBAC Financial Group Inc,2023-11-07,2023-09-30,-0.18,USD
AMBK,AMBK,2024-01-17,2023-12-31,0,USD
AMBS,AMBS,2023-11-20,2023-09-30,0,USD
AMBZ,AMBZ,2024-01-25,2023-12-31,,USD
AMC,AMC Entertainment Holdings Inc - Class A,2023-11-08,2023-09-30,-0.28,USD
AMCF,AMCF,2023-11-17,2023-09-30,0,USD
AMCX,AMC Networks Inc - Class A,2023-11-03,2023-09-30,1.28,USD
AMD,Advanced Micro Devices Inc,2024-01-29,2023-12-31,0.83,USD
AME,Ametek Inc,2024-01-31,2023-12-31,1.61,USD
AMEH,Apollo Medical Holdings Inc,2023-11-07,2023-09-30,0.33,USD
AMEN,AMEN,2023-12-06,2023-09-30,,USD
AMG,Affiliated Managers Group Inc,2023-11-06,2023-09-30,3.75,USD
AMGN,AMGEN Inc,2024-01-29,2023-12-31,4.53,USD
AMIGY,AMIGY,2023-11-13,2023-09-30,0,GBP
AMIH,AMIH,2023-11-03,2023-09-30,,USD
AMIVF,AMIVF,2023-11-06,2023-09-30,,CAD
AMK,Assetmark Financial Holdings Inc,2023-11-06,2023-09-30,0.58,USD
AMKBY,AMKBY,2023-11-03,2023-09-30,0.1019,USD
AMLI,American Lithium Corp,2024-01-31,2023-11-30,-0.0341,CAD
AMLX,Amylyx Pharmaceuticals Inc,2023-11-10,2023-09-30,0.43,USD
AMMJ,AMMJ,2023-11-20,2023-09-30,,USD
AMNB,American National Bankshares Inc,2024-01-17,2023-12-31,0.53,USD
AMNI,AMNI,2023-11-13,2023-09-30,0,USD
AMNL,AMNL,2023-11-29,2023-09-30,0,USD
AMP,Ameriprise Financial Inc,2024-01-23,2023-12-31,7.65,USD
AMPE,Ampio Pharmaceuticals Inc,2023-11-13,2023-09-30,,USD
AMPG,Amplitech Group Inc,2023-11-13,2023-09-30,0.15,USD
AMPH,Amphastar Pharmaceuticals Inc,2023-11-08,2023-09-30,0.69,USD
AMPL,Amplitude Inc - Class A,2023-11-07,2023-09-30,0.03,USD
AMPS,Altus Power Inc - Class A,2023-11-13,2023-09-30,0.04,USD
AMPX,Amprius Technologies Inc,2023-11-09,2023-09-30,-0.12,USD
AMPY,Amplify Energy Corp,2023-11-06,2023-09-30,0.2,USD
AMRC,Ameresco Inc - Class A,2023-11-06,2023-09-30,0.48,USD
AMRK,A-Mark Precious Metals Inc,2023-11-07,2023-09-30,1.12,USD
AMRS,AMRS,2023-11-06,2023-09-30,-0.2675,USD
AMRX,Amneal Pharmaceuticals Inc - Class A,2023-11-07,2023-09-30,0.13,USD
AMS,American Shared Hospital Services,2023-11-08,2023-09-30,,USD
AMSC,American Superconductor Corp,2024-01-30,2023-12-31,-0.0733,USD
AMSWA,American Software Inc - Class A,2023-11-15,2023-10-31,0.09,USD
AMSYF,AMSYF,2023-11-09,2023-09-30,0.9895,USD
AMTB,Amerant Bancorp Inc - Class A,2024-01-17,2023-12-31,0.44,USD
AMTI,Applied Molecular Transport Inc,2023-11-06,2023-09-30,-0.5,USD
AMTY,AMTY,2023-11-29,2023-09-30,0,USD
AMWD,American Woodmark Corp,2023-11-20,2023-10-31,2.05,USD
AMYZF,AMYZF,2023-11-27,2023-10-31,,USD
AMZN,Amazon.com Inc,2024-01-31,2023-12-31,0.72,USD
ANAB,AnaptysBio Inc,2023-11-06,2023-09-30,-1.79,USD
ANCTF,ANCTF,2023-11-20,2023-10-31,0.7291,USD
ANDE,Andersons Inc,2023-11-07,2023-09-30,0.53,USD
ANDR,ANDR,2023-11-13,2023-09-30,0,USD
ANEB,Anebulo Pharmaceuticals Inc,2023-11-08,2023-09-30,-0.12,USD
ANF,Abercrombie & Fitch Co. - Class A,2023-11-21,2023-10-31,1.07,USD
ANFIF,ANFIF,2023-11-29,2023-09-30,0,USD
ANGH,Anghami Inc,2023-11-14,2023-09-30,0,USD
ANGI,Angi Inc - Class A,2023-11-07,2023-09-30,-0.03,USD
ANGN,ANGN,2023-11-13,2023-09-30,,USD
ANGO,Angiodynamic Inc,2024-01-03,2023-11-30,-0.07,USD
ANICF,ANICF,2024-01-18,2023-12-31,,CAD
ANIOY,ANIOY,2023-11-03,2023-09-30,0.1323,EUR
ANIP,ANI Pharmaceuticals Inc,2023-11-08,2023-09-30,0.84,USD
ANIX,Anixa Biosciences Inc,2024-01-03,2023-10-31,-0.09,USD
ANLDF,ANLDF,2023-11-29,2023-09-30,,CAD
ANPC,ANPC,2023-12-17,2023-09-30,,CNY
ANRGF,ANRGF,2023-11-06,2023-09-30,,CAD
ANTH,ANTH,2023-11-06,2023-09-30,0,USD
ANTX,AN2 Therapeutics Inc,2023-11-08,2023-09-30,-0.7025,USD
ANVS,Annovis Bio Inc,2023-11-06,2023-09-30,-1.09,USD
ANY,Sphere 3D Corp,2023-11-08,2023-09-30,,USD
AOBI,AOBI,2023-11-14,2023-09-30,0,USD
AOCIF,AOCIF,2023-11-09,2023-09-30,,CAD
AOIFF,AOIFF,2023-11-13,2023-09-30,0.11,USD
AOLS,AOLS,2023-12-18,2023-09-30,0,USD
AOMR,Angel Oak Mortgage REIT Inc,2023-11-07,2023-09-30,0.11,USD
AON,Aon plc. - Class A,2024-02-01,2023-12-31,4.07,USD
